sprint,data_snapshot,item_id,tipo,numero,titulo,status,responsaveis,labels,estado,criado_em,fechado_em,atualizado_em,repositorio,url
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2SlD4,ISSUE,8,S01-01 — Implementar métricas de idade e Pull Requests aceitas,Ready,Victorgabrielcruz,,OPEN,2026-08-12T17:48:24Z,,2026-08-13T14:16:54Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/8
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2Slx0,ISSUE,10,S01-03 — Implementar métricas de linguagem e fechamento de issues,In progress,matheus-0063,,OPEN,2026-08-12T17:50:02Z,,2026-08-13T02:05:17Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/10
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2Sm7g,ISSUE,12,S01-05 — Configurar gestão e rastreabilidade das sprints,Done,Victorgabrielcruz,,CLOSED,2026-08-12T17:52:48Z,2026-08-13T12:28:52Z,2026-08-13T12:28:53Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/12
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2SmJM,ISSUE,11,S01-04 — Construir coletor GraphQL de dados dos repositórios,Done,JonathaDaSilva,,CLOSED,2026-08-12T17:50:57Z,2026-08-13T01:49:59Z,2026-08-13T01:50:01Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/11
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2SnsU,ISSUE,13,S01-06 — Implementar resiliência e tratamento de falhas da API,Done,JonathaDaSilva,,CLOSED,2026-08-12T17:54:25Z,2026-08-13T14:16:03Z,2026-08-13T14:16:05Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/13
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2SlYo,ISSUE,9,S01-02 — Implementar métricas de releases e atividade do repositório,Done,JonathaDaSilva,,CLOSED,2026-08-12T17:49:06Z,2026-08-13T23:20:53Z,2026-08-14T00:36:31Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/9
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2TiTA,ISSUE,14,S02-01 — Implementar coleta paginada dos 1.000 repositórios,Product Backlog,Victorgabrielcruz,,OPEN,2026-08-12T20:07:59Z,,2026-08-12T22:40:33Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/14
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2Tiu0,ISSUE,15,S02-02 — Implementar persistência dos dados em CSV,Product Backlog,JonathaDaSilva,,OPEN,2026-08-12T20:08:56Z,,2026-08-12T22:41:21Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/15
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2TjDo,ISSUE,16,S02-03 — Construir pipeline de transformação e cálculo das métricas,Product Backlog,matheus-0063,,OPEN,2026-08-12T20:09:40Z,,2026-08-13T01:17:55Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/16
Lab01S01,2026-08-14T01:39:15Z,PVTI_lAHOBrraXM4BgLUqzg2TjfA,ISSUE,17,S02-04 — Validar idade dos repositórios e Pull Requests aceitas,Product Backlog,Victorgabrielcruz,,OPEN,2026-08-12T20:10:44Z,,2026-08-12T22:42:16Z,Victorgabrielcruz/lab01-github-popular-repositories-analysis,https://github.com/Victorgabrielcruz/lab01-github-popular-repositories-analysis/issues/17
